Iteration 1
1 - 0.247
2 - 0.292
3 - 0.237
4 - 0.398
5 - 0.242
6 - 0.262
7 - 0.008
8 - 0.255
9 - 0.237
10 - 0.063
11 - 0.016
12 - 0.251
13 - 0.023
14 - 0.024
15 - 0.028
16 - 0.254
17 - 0.126
18 - 0.225
19 - 0.022
20 - 0.252
21 - 0.025
22 - 0.248
23 - 0.229
24 - 0.260
25 - 0.021
26 - 0.023
27 - 0.219
28 - 0.068
29 - 0.328
30 - 0.284
31 - 0.256
32 - 0.057
33 - 0.277
34 - 0.028
35 - 0.050
36 - 0.290
37 - 0.049
38 - 0.259
39 - 0.294
40 - 0.299
41 - 0.051
42 - 0.062
43 - 0.265
44 - 0.055
45 - 0.032
46 - 0.059
47 - 0.270
48 - 0.066
49 - 0.059
50 - 0.229
51 - 0.310
52 - 0.068
53 - 0.119
Average overall processing time: 0.164
Average positive detection time: 0.269
---------------------
Iteration 2
