Iteration 1
1 - 0.229
2 - 0.079
3 - 0.218
4 - 0.367
5 - 0.015
6 - 0.258
7 - 0.285
8 - 0.222
9 - 0.005
10 - 0.054
11 - 0.187
12 - 0.028
13 - 0.210
14 - 0.020
15 - 0.022
16 - 0.021
17 - 0.099
18 - 0.013
19 - 0.017
20 - 0.201
21 - 0.213
22 - 0.206
23 - 0.221
24 - 0.203
25 - 0.014
26 - 0.015
27 - 0.012
28 - 0.046
29 - 0.047
30 - 0.048
31 - 0.243
32 - 0.043
33 - 0.050
34 - 0.024
35 - 0.043
36 - 0.043
37 - 0.046
38 - 0.042
39 - 0.046
40 - 0.047
41 - 0.245
42 - 0.244
43 - 0.230
44 - 0.044
45 - 0.027
46 - 0.223
47 - 0.227
48 - 0.243
49 - 0.045
50 - 0.219
51 - 0.213
52 - 0.054
53 - 0.101
Average overall processing time: 0.119
Average positive detection time: 0.203
---------------------
Iteration 2
