Iteration 1
1 - 0.220
2 - 0.085
3 - 0.043
4 - 0.380
5 - 0.018
6 - 0.231
7 - 0.011
8 - 0.199
9 - 0.010
10 - 0.057
11 - 0.194
12 - 0.031
13 - 0.029
14 - 0.028
15 - 0.026
16 - 0.216
17 - 0.110
18 - 0.215
19 - 0.020
20 - 0.018
21 - 0.211
22 - 0.017
23 - 0.037
24 - 0.020
25 - 0.018
26 - 0.030
27 - 0.023
28 - 0.051
29 - 0.052
30 - 0.060
31 - 0.251
32 - 0.049
33 - 0.282
34 - 0.028
35 - 0.049
36 - 0.286
37 - 0.258
38 - 0.049
39 - 0.055
40 - 0.284
41 - 0.267
42 - 0.255
43 - 0.055
44 - 0.054
45 - 0.032
46 - 0.063
47 - 0.064
48 - 0.069
49 - 0.057
50 - 0.035
51 - 0.028
52 - 0.076
53 - 0.127
Average overall processing time: 0.103
Average positive detection time: 0.171
---------------------
Iteration 2
1 - 0.221
2 - 0.085
3 - 0.044
4 - 0.366
5 - 0.017
6 - 0.230
7 - 0.011
8 - 0.201
9 - 0.010
10 - 0.059
11 - 0.186
12 - 0.035
13 - 0.029
14 - 0.027
15 - 0.026
16 - 0.209
17 - 0.101
18 - 0.205
19 - 0.019
20 - 0.017
21 - 0.203
22 - 0.013
23 - 0.029
24 - 0.018
25 - 0.018
26 - 0.025
27 - 0.021
28 - 0.051
29 - 0.047
30 - 0.051
31 - 0.234
32 - 0.047
33 - 0.235
34 - 0.028
35 - 0.044
36 - 0.226
37 - 0.273
38 - 0.051
39 - 0.050
40 - 0.232
41 - 0.253
42 - 0.250
43 - 0.050
44 - 0.049
45 - 0.030
46 - 0.049
47 - 0.045
48 - 0.053
49 - 0.052
50 - 0.027
51 - 0.022
52 - 0.057
53 - 0.104
Average overall processing time: 0.095
Average positive detection time: 0.159
---------------------
Iteration 3
1 - 0.212
2 - 0.086
3 - 0.048
4 - 0.349
5 - 0.018
6 - 0.233
7 - 0.012
8 - 0.201
9 - 0.010
10 - 0.055
11 - 0.193
12 - 0.036
13 - 0.023
14 - 0.023
15 - 0.024
16 - 0.211
17 - 0.100
18 - 0.208
19 - 0.020
20 - 0.020
21 - 0.207
22 - 0.013
23 - 0.030
24 - 0.017
25 - 0.017
26 - 0.025
27 - 0.020
28 - 0.048
29 - 0.052
30 - 0.051
31 - 0.228
32 - 0.045
33 - 0.244
34 - 0.026
35 - 0.045
36 - 0.227
37 - 0.262
38 - 0.049
39 - 0.054
40 - 0.247
41 - 0.241
42 - 0.266
43 - 0.048
44 - 0.047
45 - 0.029
46 - 0.053
47 - 0.049
48 - 0.054
49 - 0.048
50 - 0.029
51 - 0.025
52 - 0.057
53 - 0.100
Average overall processing time: 0.095
Average positive detection time: 0.159
---------------------
Iteration 4
